"id","wifi","workspace","quiet","all_three","wifi_workspace_only","wifi_only","neighbourhood_cleansed","neighbourhood_group_cleansed","price"
71812,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Kingsbridge","Bronx",90
72190,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Upper West Side","Manhattan",110
72265,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Greenpoint","Brooklyn",85
74333,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"East Harlem","Manhattan",80
74438,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Hell's Kitchen","Manhattan",299
74680,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Astoria","Queens",115
74821,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Harlem","Manhattan",149
74860,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Greenpoint","Brooklyn",75
75635,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Lower East Side","Manhattan",175
77765,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Greenpoint","Brooklyn",179
80493,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"East Village","Manhattan",56
80684,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Greenpoint","Brooklyn",429
80700,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Greenpoint","Brooklyn",349
80924,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Park Slope","Brooklyn",160
81739,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Greenpoint","Brooklyn",349
82638,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"East Village","Manhattan",125
82928,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bedford-Stuyvesant","Brooklyn",150
83243,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Bushwick","Brooklyn",73
84010,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Greenpoint","Brooklyn",179
86215,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Lower East Side","Manhattan",166
89621,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Crown Heights","Brooklyn",150
92242,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Lower East Side","Manhattan",429
93313,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Bedford-Stuyvesant","Brooklyn",129
94209,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Crown Heights","Brooklyn",100
94783,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Crown Heights","Brooklyn",135
98663,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Chelsea","Manhattan",150
99085,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Fort Greene","Brooklyn",125
100186,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Gowanus","Brooklyn",130
101053,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Williamsburg","Brooklyn",175
103161,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Williamsburg","Brooklyn",335
103311,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Greenpoint","Brooklyn",599
103555,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Fort Greene","Brooklyn",375
105469,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Rockaway Beach","Queens",114
106363,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Harlem","Manhattan",82
106906,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Clinton Hill","Brooklyn",225
107630,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Greenpoint","Brooklyn",225
112304,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Harlem","Manhattan",90
112435,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Fort Greene","Brooklyn",95
113092,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Fort Greene","Brooklyn",90
113265,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Crown Heights","Brooklyn",60
115535,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Harlem","Manhattan",65
115748,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Astoria","Queens",110
116551,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Harlem","Manhattan",78
118061,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bedford-Stuyvesant","Brooklyn",120
121687,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Williamsburg","Brooklyn",200
121861,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Park Slope","Brooklyn",165
123784,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Harlem","Manhattan",102
125163,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Bedford-Stuyvesant","Brooklyn",99
126443,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"East Village","Manhattan",477
126816,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Upper West Side","Manhattan",85
127387,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Gowanus","Brooklyn",260
132516,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Forest Hills","Queens",120
133025,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Murray Hill","Manhattan",68
134934,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Williamsburg","Brooklyn",250
135465,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Fort Greene","Brooklyn",170
136493,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Park Slope","Brooklyn",302
